id_unico,type,pais
Movie_47518,Película,United States
Movie_47518,Película,Canada
Movie_45569,Película,Australia
Movie_55165,Película,Sweden
Movie_46138,Película,United Kingdom
Movie_148607,Película,United States
Movie_45662,Película,United States
Movie_38570,Película,United States
Movie_34583,Película,United States
Movie_43922,Película,United States
Movie_39356,Película,New Zealand
Movie_48415,Película,Germany
Movie_48415,Película,Italy
Movie_66195,Película,United States
Movie_61005,Película,Canada
Movie_33570,Película,Canada
Movie_33570,Película,United States
Movie_34764,Película,India
Movie_44835,Película,Taiwan
Movie_44835,Película,United States
Movie_50618,Película,Belarus
Movie_50618,Película,Russia
Movie_46103,Película,Romania
Movie_46103,Película,United States
Movie_56812,Película,Belgium
Movie_56812,Película,France
Movie_56812,Película,Italy
Movie_56812,Película,Spain
Movie_44718,Película,United States
Movie_49706,Película,Hong Kong
Movie_37931,Película,United States
Movie_42889,Película,United States
Movie_44009,Película,United Kingdom
Movie_44009,Película,United States
Movie_31007,Película,United States
Movie_62489,Película,Germany
Movie_50337,Película,United States
Movie_44638,Película,India
Movie_44638,Película,United Kingdom
Movie_44638,Película,United States
Movie_50204,Película,United Kingdom
Movie_44560,Película,China
Movie_44560,Película,Hong Kong
Movie_28396,Película,Spain
Movie_36801,Película,United Kingdom
Movie_50848,Película,France
Movie_148606,Película,United States
Movie_49087,Película,South Korea
Movie_46207,Película,France
Movie_37932,Película,United States
Movie_53807,Película,Hong Kong
Movie_53807,Película,China
Movie_35688,Película,United States
Movie_51250,Película,United States
Movie_46665,Película,Canada
Movie_32916,Película,United States
Movie_70695,Película,United States
Movie_63348,Película,United States
Movie_59490,Película,Canada
Movie_59490,Película,France
Movie_59490,Película,Germany
Movie_59490,Película,United Kingdom
Movie_59490,Película,United States
Movie_45272,Película,United States
Movie_73211,Película,Norway
Movie_73211,Película,France
Movie_73211,Película,Sweden
Movie_73211,Película,Poland
Movie_46020,Película,United States
Movie_77235,Película,United States
Movie_45649,Película,France
Movie_68252,Película,South Korea
Movie_743885,Película,Japan
Movie_46812,Película,Germany
Movie_46812,Película,South Africa
Movie_46812,Película,United States
Movie_52077,Película,France
Movie_34182,Película,China
Movie_35458,Película,United States
Movie_51991,Película,Belgium
Movie_51991,Película,France
Movie_63498,Película,Spain
Movie_63498,Película,United Kingdom
Movie_35402,Película,United States
Movie_35402,Película,Canada
Movie_45094,Película,United States
Movie_51241,Película,Canada
Movie_62592,Película,United States
Movie_46920,Película,France
Movie_46920,Película,Italy
Movie_29564,Película,United States
Movie_29564,Película,Canada
Movie_44944,Película,United States
Movie_54700,Película,United States
Movie_33107,Película,Argentina
Movie_33107,Película,France
Movie_33107,Película,United States
Movie_38568,Película,United States
Movie_113727,Película,Mexico
Movie_46829,Película,Canada
Movie_46829,Película,Italy
Movie_46829,Película,United States
Movie_56937,Película,Norway
Movie_148605,Película,United States
Movie_42307,Película,Australia
Movie_29159,Película,Italy
Movie_29159,Película,Spain
Movie_29159,Película,United Kingdom
Movie_29159,Película,United States
Movie_36085,Película,Germany
Movie_45324,Película,Canada
Movie_38033,Película,United States
Movie_44425,Película,India
Movie_48392,Película,Belgium
Movie_48392,Película,Denmark
Movie_48392,Película,France
Movie_48392,Película,Norway
Movie_48392,Película,Sweden
Movie_38318,Película,Russia
Movie_58051,Película,India
Movie_32926,Película,Turkey
Movie_62321,Película,Greece
Movie_59507,Película,France
Movie_54559,Película,United States
Movie_32845,Película,United States
Movie_36940,Película,Italy
Movie_58156,Película,Sweden
Movie_59435,Película,United States
Movie_62728,Película,France
Movie_62728,Película,United Kingdom
Movie_40794,Película,Italy
Movie_70761,Película,Germany
Movie_70761,Película,Netherlands
Movie_41345,Película,United Kingdom
Movie_51888,Película,United States
Movie_48303,Película,France
Movie_48303,Película,Italy
Movie_48303,Película,Belgium
Movie_53172,Película,United States
Movie_58718,Película,United Kingdom
Movie_45077,Película,United States
Movie_55061,Película,Canada
Movie_67203,Película,United States
Movie_67203,Película,Bulgaria
Movie_44027,Película,United States
